RM_ID,RM_Name,City,Age,Gender,Joining_Date,Experience
RM0001,Vickie Zimmerman,Jaipur,33,M,2016-11-09 00:00:00.000000,9.0
RM0002,Kimberly Mitchell,Jaipur,47,M,2021-11-16 00:00:00.000000,10.0
RM0003,Sara Conner,Kolkata,33,F,2019-06-01 00:00:00.000000,7.0
RM0004,Tina Meza,Mumbai,41,F,2012-06-16 00:00:00.000000,14.0
RM0005,Stephanie Gray,Chennai,39,F,2018-10-01 00:00:00.000000,6.0
RM0006,Marc Castro,Pune,31,M,2014-04-09 00:00:00.000000,6.0
RM0007,Richard Kelly,Jaipur,22,M,2023-12-14 00:00:00.000000,8.0
RM0008,Michael Stewart,Lucknow,30,F,2012-12-20 00:00:00.000000,1.0
RM0009,Nicole Todd,Jaipur,37,F,2017-06-11 00:00:00.000000,3.0
RM0010,Alison Molina,Delhi,23,M,2019-03-06 00:00:00.000000,4.0
RM0011,Ms. Natasha Ballard,Mumbai,33,F,2012-09-11 00:00:00.000000,13.0
RM0012,Kelly Hawkins,Jaipur,23,M,2014-09-02 00:00:00.000000,8.0
RM0013,Nicholas Stewart,Chennai,35,M,2013-06-21 00:00:00.000000,5.0
RM0014,Melissa Nelson,Hyderabad,38,M,2013-03-22 00:00:00.000000,3.0
RM0015,Heather Elliott,Bangalore,32,F,2019-11-27 00:00:00.000000,5.0
RM0016,Victoria Hughes,Kolkata,49,F,2012-11-13 00:00:00.000000,5.0
RM0017,RM_Employee_16,Chennai,26,M,2022-11-22 00:00:00.000000,7.0
RM0018,Jorge Ray,Chennai,25,F,2010-07-11 00:00:00.000000,11.0
RM0019,Daniel Brown,Pune,22,M,2023-07-18 00:00:00.000000,8.0
RM0020,Jennifer Williams,Jaipur,36,M,2015-11-19 00:00:00.000000,2.0
RM0021,Mark Hall,Jaipur,36,M,2023-10-06 00:00:00.000000,10.0
RM0022,RM_Employee_21,Kolkata,32,F,2024-08-23 00:00:00.000000,7.0
RM0023,Kristopher Hood,Ahmedabad,29,M,2022-05-15 00:00:00.000000,2.0
RM0024,RM_Employee_23,Bangalore,43,M,2020-04-09 00:00:00.000000,6.0
RM0025,Courtney Cochran,Chennai,22,F,2013-11-12 00:00:00.000000,9.0
RM0026,Tonya Thompson,Hyderabad,31,M,2015-06-16 00:00:00.000000,9.0
RM0027,Samantha Ford,Hyderabad,39,M,2013-02-11 00:00:00.000000,5.0
RM0028,RM_Employee_27,Jaipur,42,M,2018-12-19 00:00:00.000000,12.0
RM0029,William Phelps,Hyderabad,32,F,2010-02-13 00:00:00.000000,4.0
RM0030,RM_Employee_29,Hyderabad,42,F,2020-11-04 00:00:00.000000,9.0
